time,output,input
0.02,0.19047619054203657,4535.147393823508
0.04,0.6832955406449872,2663.4992624058887
0.06,1.266001991850509,-523.3301885091812
0.08,1.6625522020622563,-3908.9612636981196
0.1,1.67746336962478,-5177.6826088953
0.12,1.319103865409419,-3709.7143382116965
0.14,0.7927240201374188,-290.7699726890589
0.16,0.38832798805264535,3195.146477120126
0.18,0.32275822780890173,4872.145709560357
0.2,0.624558956869346,3874.77070245484
0.22,1.122778680595913,801.8720277168092
0.24,1.5438237440951725,-2639.3639378640996
0.26,1.661675709561314,-4579.51934862565
0.28,1.4191288845915442,-4001.4042331891023
0.3,0.9551111869655565,-1271.7117824584755
0.32,0.5253384631828638,2087.068302510554
0.34,0.3615091085176652,4244.916676462325
0.36,0.5465125000293587,4060.6248991820967
0.38,0.972798343971467,1684.1953968008543
0.4,1.404635224166367,-1552.027866946774
0.42,1.608354979064711,-3879.3322591450005
0.44,1.4786824163279446,-4058.580065501608
0.46,1.0929120192540875,-2038.9874187328176
0.48,0.665181897701635,1039.9463596939042
0.5,0.42772161357395533,3490.287864687473
0.52,0.5048674569302609,4000.334218262921
0.54,0.8481365044640854,2335.9325478837177
0.56,1.2661610937924948,-556.0386956081899
0.58,1.5312559487325454,-3085.1454564767023
0.6,1.5033368852324398,-3891.376411141921
0.62,1.2037996836409426,-2575.7221148561075
0.64,0.8004787300314564,104.68040012003553
0.66,0.513730950615305,2670.871366368477
0.68,0.4961322558716617,3737.440173446746
0.7000000000000001,0.7514169060717837,2759.7823252241765
0.72,1.1356562934045604,310.5685589070583
0.74,1.4382724295909226,-2253.979300468645
0.76,1.4973563534131151,-3544.4067081936937
0.78,1.2861870153226524,-2890.1947659244015
0.8,0.9247777639882946,-686.946025615535
0.8200000000000001,0.6118168229679359,1840.4772235482255
0.84,0.5155207777904408,3318.210772700371
0.86,0.6833133261856654,2969.612883797744
0.88,1.018772918529793,1022.45959119286
0.9,1.3368711208617072,-1435.8260200357156
0.92,1.465944970650612,-3064.753802405422
0.9400000000000001,1.3402497038839876,-3001.17754415725
0.96,1.033239271570551,-1315.8502069720769
0.98,0.7148493160482972,1044.9091781719071
1.0,0.5575181842662789,2789.8247203925234
1.02,0.6428738701828172,2988.432843859106
1.04,0.9195387783697058,1566.548638781022
1.06,1.233774182665243,-672.0130171284881
1.08,1.4148258264267697,-2499.0289003344915
1.1,1.3676380364965708,-2935.2433304191663
1.12,1.1226357361711563,-1774.62596471573
1.1400000000000001,0.8165734531774439,320.8168535486943
1.16,0.6162899528374712,2197.725590573891
1.18,0.6278309010099108,2845.71365971812
1.2,0.840402873469425,1940.7392995066596
1.22,1.134721414996313,5.607583065829901
1.24,1.3498545685108887,-1890.9739642969296
1.26,1.371154128106066,-2724.111605207436
1.28,1.1912658966275111,-2066.0738965548485
1.3,0.9118014550901556,-304.78824771703955
1.32,0.6860423958919968,1583.4878272071578
1.34,0.6349312242147097,2574.795208997552
1.36,0.782357326110573,2152.2827332251836
1.3800000000000001,1.044322465457943,574.8372061097921
1.4000000000000001,1.2766876140287682,-1279.598891251147
1.42,1.3544195300066224,-2402.144741907111
1.44,1.238801532451499,-2201.4246279287636
1.46,0.996517714258967,-814.4282444024539
1.48,0.7613235030887977,983.2284115873639
1.5,0.6602658859299845,2210.5000172457417
1.52,0.7451171480629917,2215.901870656126
1.54,0.965992567475159,1022.7685407629533
1.56,1.2005138564408393,-697.8668847131837
1.58,1.3215523899449837,-2004.1034834091322
1.6,1.2660858496511906,-2198.3982736844246
1.62,1.0679048398355897,-1199.5652863676323
1.6400000000000001,0.8372576675846419,426.56141884623116
1.6600000000000001,0.6995821499242659,1787.0494047287343
1.68,0.7273390829137723,2151.818467885886
1.7,0.901961893423858,1344.98813975448
1.72,1.1258539726376187,-171.9103134640993
1.74,1.276869766837717,-1563.2393297078647
1.76,1.274901883458977,-2079.229184071081
1.78,1.1243019822739977,-1459.628382750191
1.8,0.9097123905934698,-63.935676679194046
1.82,0.7485639460518289,1336.3439418800938
