time,output,input
0.02,0.6666666666842894,15873.015873230774
0.04,1.8948460508913918,-2503.66545577376
0.06,2.781478934310815,-5628.394086751349
0.08,3.087974492052505,-8184.399381736757
0.1,2.917241901023587,-3178.1755890618265
0.12,2.662773378085812,1184.4629245069225
0.14,2.6020013086697165,3427.3573974096653
0.16,2.7821734224338655,2309.4088688032507
0.18,3.0577175466034685,-38.646716260676726
0.2,3.258820596232342,-1733.7598204015178
0.22,3.311513111587634,-1799.824328969749
0.24,3.2576293962127036,-737.704974145626
0.26,3.189649813449454,402.0890839323777
0.28,3.174210098975057,848.860161034794
0.3,3.2175230738665896,550.0133953012722
0.32,3.2821540842876615,-42.441120780440315
0.34,3.326811207099237,-433.12763182160666
0.36,3.3353624714355723,-426.5356652082866
0.38,3.319481955028872,-155.1734001058522
0.4,3.301988301935421,116.76538375102885
0.42,3.2983021037953124,211.98354370836668
0.44,3.308907133570963,128.28378762045082
0.46,3.324141626475019,-18.058475037410894
0.48,3.3340651019139775,-108.39432174946911
0.5,3.335204433173932,-100.7519682269844
0.52,3.3307680426665596,-32.0033119484151
0.54,3.3263625907274883,32.73994452615957
0.56,3.3255387720926266,52.53703890717222
0.58,3.328166279765906,29.637397001280878
0.6,3.3317720356711704,-6.3457724297202684
0.62,3.333974341035717,-27.06971663472379
0.64,3.3340426528458966,-23.739653707403036
0.66,3.332844884097955,-6.405121486197304
0.68,3.331753964872739,8.949157741371996
0.7000000000000001,3.33158225654821,12.93681608445437
0.72,3.332238569682994,6.777980565952512
0.74,3.3330943338229324,-2.029147109773305
0.76,3.3335816576588804,-6.743241080416727
0.78,3.3335515525067807,-5.57649673026471
0.8,3.33323574796867,-1.2258696034000067
0.8200000000000001,3.3329692727392106,2.400376952199652
0.84,3.3329366296996534,3.1670561406978486
0.86,3.33310139660451,1.5331806310835125
0.88,3.33330481410521,-0.6129283490833534
0.9,3.3334121377667008,-1.6750202034923063
0.92,3.333394292232204,-1.305198748597062
0.9400000000000001,3.3333124671314684,-0.21812425710320466
0.96,3.3332481279111383,0.6344547429333824
0.98,3.3332428243079666,0.7711551894069218
1.0,3.3332842972217955,0.3425714058512008
1.02,3.333332676131742,-0.17814292685180605
1.04,3.333356151396701,-0.4148010014182001
1.06,3.333349428047324,-0.30421362563882615
1.08,3.333328510010762,-0.033755116857521056
1.1,3.3333131346758473,0.16572420369645008
1.12,3.333312566061813,0.1868167696421439
1.1400000000000001,3.333323013171029,0.07546235538058643
1.16,3.3333345152664413,-0.05034363643718573
1.18,3.3333396025299797,-0.1023904557940549
1.2,3.333337425508586,-0.07056870925475661
1.22,3.3333321350869394,-0.0035598681949419557
1.24,3.3333284955045475,0.042865564737692735
1.26,3.3333285477888035,0.04503602211976594
1.28,3.3333311779279784,0.016341475943784343
1.3,3.3333339095668224,-0.013924817153033725
1.32,3.3333349983785068,-0.02519011522212831
1.34,3.333334345380772,-0.016281537618140093
1.36,3.3333330191964836,0.0002532863498962649
1.3800000000000001,3.333332165447591,0.010995175453449043
1.4000000000000001,3.3333322272970483,0.010804785248036072
1.42,3.333332888435896,0.003464009764907353
1.44,3.3333335360397904,-0.0037862705506042766
1.46,3.333333765223762,-0.0061761085698203355
1.48,3.3333335782081335,-0.003733405707319707
1.5,3.333333248268458,0.0003304522033394774
1.52,3.333333049802257,0.0027998686239051386
1.54,3.3333330772833696,0.002579829312556202
1.56,3.33333324310593,0.0007140146897760647
1.58,3.3333333962786673,-0.0010152009630727118
1.6,3.3333334434358317,-0.0015089793359488125
1.62,3.333333391512683,-0.0008500757462346165
1.6400000000000001,3.3333333099684364,0.00014481152016668127
1.6600000000000001,3.3333332642585822,0.0007083882985974902
1.68,3.333333274046945,0.0006129978108014847
1.7,3.333333315526007,0.00014154266221210157
1.72,3.333333351650911,-0.0002690226231569095
1.74,3.33333336104721,-0.0003673727352457365
1.76,3.333333346950208,-0.00019199156199016846
1.78,3.3333333269158003,5.0624745471981625e-05
1.8,3.333333316491498,0.00017818729150708053
1.82,3.333333319638184,0.00014493147947873555
1.84,3.3333333299827332,2.6446220466630714e-05
1.86,3.3333333384738353,-7.05759162781627e-05
1.8800000000000001,3.333333340257872,-8.911611550883753e-05
1.9000000000000001,3.3333333364950453,-4.2952071295793804e-05
1.92,3.333333331599554,1.5983879209326558e-05
1.94,3.3333333292478544,4.458258141553629e-05
1.96,3.3333333302003547,3.408885207965022e-05
1.98,3.3333333327719363,4.460699297420807e-06
2.0,3.3333333347600194,-1.835352230674684e-05
2.02,3.333333335072674,-2.153762640123879e-05
2.04,3.333333334081688,-9.501436451432418e-06
2.06,3.3333333328915398,4.759470003254416e-06
2.08,3.3333333323674657,1.1099443375383367e-05
2.1,3.3333333326444805,7.974104230010258e-06
2.12,3.3333333332816206,6.003061467548106e-07
2.14,3.3333333337450584,-4.736081463499165e-06
2.16,3.333333333791789,-5.185515102780937e-06
2.18,3.3333333335336506,-2.073270213792791e-06
2.2,3.3333333332457187,1.3639022684037145e-06
2.22,3.3333333331305917,2.7505040167402004e-06
2.24,3.333333333208871,1.854405957335602e-06
2.2600000000000002,3.333333333366188,2.74521505556603e-08
2.2800000000000002,3.3333333334736834,-1.2136890313237271e-06
2.3000000000000003,3.3333333334779716,-1.2436249327887351e-06
2.32,3.3333333334113475,-4.4476082378050575e-07
2.34,3.333333333342018,3.8034277509465523e-07
2.36,3.333333333317163,6.785685093440531e-07
2.38,3.333333333338805,4.285116721787427e-07
2.4,3.333333333377513,-2.2194326990536275e-08
2.42,3.333333333402307,-3.090760204505278e-07
2.44,3.333333333401644,-2.970539582261215e-07
2.46,3.3333333333845845,-9.33439489700715e-08
2.48,3.3333333333679684,1.0391216897665794e-07
2.5,3.333333333362718,1.6670074146551143e-07
2.52,3.333333333368599,9.833104203716699e-08
2.54,3.3333333333780897,-1.2393241566706584e-08
2.56,3.333333333383773,-7.825831664695821e-08
2.58,3.333333333383202,-7.066297232660864e-08
2.6,3.3333333333788637,-1.9027209589889884e-08
2.62,3.3333333333749,2.7938422650840143e-08
2.64,3.3333333333738224,4.078536949503151e-08
2.66,3.3333333333753985,2.238868424801492e-08
2.68,3.333333333377717,-4.707532968196945e-09
2.7,3.3333333333790103,-1.970922542852164e-08
2.72,3.3333333333787727,-1.6737769011086086e-08
2.74,3.3333333333776762,-3.7152006330161738e-09
2.7600000000000002,3.333333333376735,7.4144340173372826e-09
2.7800000000000002,3.333333333376523,9.935885149904445e-09
2.8000000000000003,3.3333333333769404,5.053119512829344e-09
2.82,3.333333333377505,-1.5499975359503473e-09
2.84,3.3333333333777966,-4.939959163863243e-09
2.86,3.3333333333777153,-3.944689638507322e-09
2.88,3.33333333337744,-6.79921456724713e-10
2.9,3.333333333377218,1.944684473664773e-09
2.92,3.333333333377179,2.4100854333190196e-09
2.94,3.333333333377288,1.1233400081941975e-09
2.96,3.3333333333774244,-4.752563095874528e-10
2.98,3.3333333333774893,-1.230020957971706e-09
3.0,3.3333333333774635,-9.226522630483731e-10
